iter	Passed	Remaining
0	134	134134
1	137	68416
2	139	46423
3	141	35350
4	144	28732
5	146	24275
6	148	21127
7	151	18746
8	152	16826
9	154	15285
10	156	14026
11	157	12983
12	159	12088
13	160	11310
14	162	10661
15	164	10092
16	165	9565
17	166	9090
18	167	8665
19	169	8285
20	170	7938
21	171	7626
22	172	7337
23	173	7068
24	174	6816
25	175	6579
26	176	6376
27	178	6192
28	179	5999
29	180	5820
30	180	5652
31	181	5493
32	182	5343
33	183	5203
34	183	5068
35	184	4939
36	185	4818
37	185	4703
38	186	4595
39	187	4491
40	187	4392
41	188	4299
42	189	4210
43	189	4125
44	190	4047
45	191	3972
46	192	3908
47	193	3839
48	194	3772
49	195	3708
50	196	3649
51	196	3590
52	197	3535
53	198	3481
54	199	3428
55	200	3377
56	201	3327
57	202	3280
58	202	3234
59	203	3189
60	204	3144
61	205	3105
62	206	3065
63	207	3033
64	208	3002
65	209	2966
66	210	2930
67	211	2895
68	212	2861
69	212	2828
70	213	2795
71	214	2762
72	215	2731
73	216	2703
74	216	2674
75	217	2646
76	218	2618
77	219	2591
78	220	2567
79	221	2544
80	222	2522
81	223	2499
82	223	2472
83	224	2449
84	225	2428
85	226	2408
86	227	2389
87	228	2371
88	229	2352
89	230	2332
90	231	2312
91	232	2292
92	233	2273
93	233	2253
94	234	2234
95	235	2215
96	236	2200
97	237	2188
98	238	2173
99	239	2156
100	240	2139
101	241	2123
102	241	2106
103	242	2090
104	243	2073
105	244	2058
106	244	2042
107	245	2027
108	246	2013
109	247	1999
110	247	1985
111	248	1971
112	249	1957
113	250	1944
114	250	1931
115	251	1919
116	252	1906
117	253	1896
118	254	1884
119	255	1871
120	255	1859
121	256	1846
122	257	1834
123	258	1823
124	258	1812
125	259	1801
126	260	1789
127	261	1778
128	261	1767
129	262	1756
130	263	1745
131	263	1734
132	264	1723
133	265	1713
134	265	1702
135	267	1700
136	269	1695
137	270	1686
138	270	1678
139	271	1668
140	272	1660
141	273	1649
142	273	1641
143	274	1632
144	275	1624
145	276	1615
146	276	1606
147	277	1598
148	278	1590
149	279	1581
150	280	1574
151	280	1567
152	282	1561
153	283	1556
154	284	1550
155	285	1543
156	285	1535
157	286	1527
158	287	1520
159	288	1513
160	288	1504
161	289	1497
162	290	1490
163	291	1483
164	291	1476
165	292	1469
166	293	1462
167	293	1455
168	294	1448
169	295	1441
170	295	1434
171	296	1429
172	298	1425
173	299	1420
174	300	1415
175	301	1409
176	301	1403
177	302	1396
178	303	1390
179	303	1384
180	304	1378
181	305	1372
182	305	1366
183	306	1360
184	307	1354
185	308	1348
186	308	1343
187	309	1337
188	310	1331
189	311	1326
190	312	1321
191	313	1317
